Dia_da_Semana;Data;Hora;Temperatura;Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Irradiacao;energia_gerada
sáb;01/01/2022;0:00;23,7;0,1;63;8,6;;15333
sáb;01/01/2022;1:00;24,9;0;30;3,7;;15345
sáb;01/01/2022;2:00;25,5;0;345;1,4;2,3;15357
sáb;01/01/2022;3:00;23,6;0;167;2,4;0,4;15369
sáb;01/01/2022;4:00;22,8;0;135;4,7;0,1;15381
sáb;01/01/2022;5:00;23,3;0;115;2,5;;15393
sáb;01/01/2022;6:00;23;0;109;5,1;;15405
sáb;01/01/2022;7:00;23,2;0;143;0;0,2;15417
sáb;01/01/2022;8:00;23,1;0;137;0;;15429
sáb;01/01/2022;9:00;23,1;0;115;0;;15441
sáb;01/01/2022;10:00;23,6;0;126;0;52,7;15453
sáb;01/01/2022;11:00;24,7;0;75;3,4;287,9;15465
sáb;01/01/2022;12:00;26,4;0,2;78;5,4;843,3;15477
sáb;01/01/2022;13:00;26,9;0,5;72;6,7;1409,4;15489
sáb;01/01/2022;14:00;27;0,1;79;6,2;1642,2;15501
sáb;01/01/2022;15:00;28,2;0,7;73;6;1799,6;15513
sáb;01/01/2022;16:00;24,7;3;67;11,7;1969,1;15525
sáb;01/01/2022;17:00;26,2;2,5;80;8,6;1068,7;15537
sáb;01/01/2022;18:00;24,8;2,1;61;9,6;1187,6;15549
sáb;01/01/2022;19:00;23,3;4,6;64;10,1;462,9;15561
sáb;01/01/2022;20:00;24,2;0;42;8,1;210,8;15573
sáb;01/01/2022;21:00;24,3;0;49;0;78,6;15585
sáb;01/01/2022;22:00;25,1;1,4;47;6,1;7,6;15597
sáb;01/01/2022;23:00;25,1;0;57;6,3;;15609
dom;02/01/2022;0:00;24,6;0;61;8,7;;15621
dom;02/01/2022;1:00;;;;;;15633
dom;02/01/2022;2:00;;;;;;15645
dom;02/01/2022;3:00;;;;;;15657
dom;02/01/2022;4:00;;;;;;15669
dom;02/01/2022;5:00;;;;;;15681
dom;02/01/2022;6:00;;;;;;15693
dom;02/01/2022;7:00;;;;;;15705
dom;02/01/2022;8:00;;;;;;15717
dom;02/01/2022;9:00;;;;;;15729
dom;02/01/2022;10:00;;;;;;15741
dom;02/01/2022;11:00;;;;;;15753
dom;02/01/2022;12:00;;;;;;15765
dom;02/01/2022;13:00;;;;;;15777
dom;02/01/2022;14:00;;;;;;15789
dom;02/01/2022;15:00;26,5;0;79;;776,7;15801
dom;02/01/2022;16:00;27,4;1,9;77;9,1;1231,4;15813
dom;02/01/2022;17:00;26,8;3,5;64;9,2;1529,7;15825
dom;02/01/2022;18:00;26,6;1,2;55;8,8;621,8;15837
dom;02/01/2022;19:00;27,1;4,1;52;7,9;1419,4;15849
dom;02/01/2022;20:00;27,1;2,4;60;8,8;649,4;15861
dom;02/01/2022;21:00;26,8;1;65;8,2;257,6;15873
dom;02/01/2022;22:00;26,7;2,2;74;7;5,8;15885
dom;02/01/2022;23:00;26,6;1,3;60;7,5;;15897
seg;03/01/2022;0:00;26,6;3,3;60;6,8;;15909
seg;03/01/2022;1:00;26,6;0,6;62;7,7;;15921
seg;03/01/2022;2:00;26,5;0,9;64;6,6;;15933
seg;03/01/2022;3:00;26,5;2,2;57;7;;15945
seg;03/01/2022;4:00;26,3;0,6;57;7,3;;15957
seg;03/01/2022;5:00;26,2;0,3;63;5,5;;15969
seg;03/01/2022;6:00;26,3;0,9;58;6,5;;15981
seg;03/01/2022;7:00;23,5;0,1;102;8;;15993
seg;03/01/2022;8:00;23,2;0;107;2,7;;16005
seg;03/01/2022;9:00;23,4;0;101;0;;16017
seg;03/01/2022;10:00;24,9;1,6;60;9,2;89,4;16029
seg;03/01/2022;11:00;26,3;2,2;55;7,2;426,4;16041
seg;03/01/2022;12:00;27,1;1,4;69;7,8;748,7;16053
seg;03/01/2022;13:00;27,8;2,4;76;9,2;1406,2;16065
seg;03/01/2022;14:00;28,7;3,3;72;8,4;2198;16077
seg;03/01/2022;15:00;29,1;2,4;61;8,4;2414,8;16089
seg;03/01/2022;16:00;29,2;2,2;73;8,6;2477,2;16101
seg;03/01/2022;17:00;27,7;0,4;69;6,5;621,3;16113
seg;03/01/2022;18:00;27,2;0;57;4,2;256;16125
seg;03/01/2022;19:00;27;0;78;0;181,8;16137
seg;03/01/2022;20:00;22,3;0,3;108;5,7;68,7;16149
seg;03/01/2022;21:00;22;0;161;5,6;21,5;16161
seg;03/01/2022;22:00;21,7;0;150;3;0,5;16173
seg;03/01/2022;23:00;22,2;0;138;3,8;;16185
ter;04/01/2022;0:00;22,6;0;87;1,1;;16197
ter;04/01/2022;1:00;;;;;;16209
ter;04/01/2022;2:00;;;;;;16221
ter;04/01/2022;3:00;;;;;;16233
ter;04/01/2022;4:00;;;;;;16245
ter;04/01/2022;5:00;;;;;;16257
ter;04/01/2022;6:00;;;;;;16269
ter;04/01/2022;7:00;;;;;;16281
ter;04/01/2022;8:00;;;;;;16293
ter;04/01/2022;9:00;;;;;;16305
ter;04/01/2022;10:00;;;;;;16317
ter;04/01/2022;11:00;;;;;;16329
ter;04/01/2022;12:00;;;;;;16341
ter;04/01/2022;13:00;;;;;;16353
ter;04/01/2022;14:00;;;;;;16365
ter;04/01/2022;15:00;;;;;;16377
ter;04/01/2022;16:00;;;;;;16389
ter;04/01/2022;17:00;;;;;;16401
ter;04/01/2022;18:00;;;;;;16413
ter;04/01/2022;19:00;;;;;;16425
ter;04/01/2022;20:00;;;;;;16437
ter;04/01/2022;21:00;;;;;;16449
ter;04/01/2022;22:00;;;;;;16461
ter;04/01/2022;23:00;;;;;;16473
qua;05/01/2022;0:00;;;;;;16485
qua;05/01/2022;1:00;;;;;;16497
qua;05/01/2022;2:00;;;;;;16509
qua;05/01/2022;3:00;;;;;;16521
qua;05/01/2022;4:00;;;;;;16533
qua;05/01/2022;5:00;;;;;;16545
qua;05/01/2022;6:00;;;;;;16557
qua;05/01/2022;7:00;;;;;;16569
qua;05/01/2022;8:00;;;;;;16581
qua;05/01/2022;9:00;;;;;;16593
qua;05/01/2022;10:00;;;;;;16605
qua;05/01/2022;11:00;;;;;;16617
qua;05/01/2022;12:00;;;;;;16629
qua;05/01/2022;13:00;26,6;0,3;65;;400,2;16641
qua;05/01/2022;14:00;27,2;0,1;48;7;1502,7;16653
qua;05/01/2022;15:00;27,4;2,5;49;6,8;1613,7;16665
qua;05/01/2022;16:00;27,9;2;48;6,5;2377,3;16677
qua;05/01/2022;17:00;26,5;3,9;62;11,6;2068,1;16689
qua;05/01/2022;18:00;26;2;43;9,1;1892,5;16701
qua;05/01/2022;19:00;25,9;0,9;38;8;1150,2;16713
qua;05/01/2022;20:00;26,2;0;28;6,4;640,5;16725
qua;05/01/2022;21:00;26,2;0,5;50;3,9;227,4;16737
qua;05/01/2022;22:00;26;0;60;4,3;14,2;16749
qua;05/01/2022;23:00;26,3;1;62;5,7;;16761
qui;06/01/2022;0:00;26,1;0;60;5,7;;16773
qui;06/01/2022;1:00;26,3;1,2;69;6,5;;16785
qui;06/01/2022;2:00;24,4;0;115;9,4;;16797
qui;06/01/2022;3:00;23,9;0;118;4;;16809
qui;06/01/2022;4:00;23,7;0;105;0,7;;16821
qui;06/01/2022;5:00;23,4;0;130;0;;16833
qui;06/01/2022;6:00;23,3;0;155;0;;16845
qui;06/01/2022;7:00;23,2;0;143;0;;16857
qui;06/01/2022;8:00;22,9;0;62;0;;16869
qui;06/01/2022;9:00;23,4;0;86;3,4;;16881
qui;06/01/2022;10:00;24,1;0;75;1,5;107,7;16893
qui;06/01/2022;11:00;26,3;0,2;87;4,3;462,2;16905
qui;06/01/2022;12:00;27,2;0,3;94;4,6;893;16917
qui;06/01/2022;13:00;25,1;0;81;6,4;628,4;16929
qui;06/01/2022;14:00;28,7;0;84;4,7;1802,7;16941
qui;06/01/2022;15:00;28,3;3;80;9,7;2094,6;16953
qui;06/01/2022;16:00;27,6;2,9;76;9,5;1987,4;16965
qui;06/01/2022;17:00;27,7;1,8;62;8,4;1245;16977
qui;06/01/2022;18:00;27,1;0;39;8,4;1372;16989
qui;06/01/2022;19:00;26,7;1;72;6,1;803,5;17001
qui;06/01/2022;20:00;26,6;3,2;58;9,2;1035,3;17013
qui;06/01/2022;21:00;26,6;0,7;66;7,5;301,9;17025
qui;06/01/2022;22:00;26,6;0,3;69;6,2;21,3;17037
qui;06/01/2022;23:00;26,8;1,1;61;6,6;;17049
sex;07/01/2022;0:00;26,9;1,2;63;7,1;;17061
sex;07/01/2022;1:00;26,9;0,3;66;7,2;;17073
sex;07/01/2022;2:00;26,7;0,4;64;7,3;;17085
sex;07/01/2022;3:00;26,8;0,5;64;7,7;;17097
sex;07/01/2022;4:00;26,6;0;75;5,4;;17109
sex;07/01/2022;5:00;26,2;0;76;2,8;;17121
sex;07/01/2022;6:00;25,9;0;83;0;;17133
sex;07/01/2022;7:00;25;0;183;0;;17145
sex;07/01/2022;8:00;24,9;0;91;4,3;;17157
sex;07/01/2022;9:00;;;;;;17169
sex;07/01/2022;10:00;;;;;;17181
sex;07/01/2022;11:00;;;;;;17193
sex;07/01/2022;12:00;;;;;;17205
sex;07/01/2022;13:00;;;;;;17217
sex;07/01/2022;14:00;;;;;;17229
sex;07/01/2022;15:00;;;;;;17241
sex;07/01/2022;16:00;;;;;;17253
sex;07/01/2022;17:00;;;;;;17265
sex;07/01/2022;18:00;;;;;;17277
sex;07/01/2022;19:00;;;;;;17289
sex;07/01/2022;20:00;;;;;;17301
sex;07/01/2022;21:00;;;;;;17313
sex;07/01/2022;22:00;;;;;;17325
sex;07/01/2022;23:00;;;;;;17337
sáb;08/01/2022;0:00;;;;;;17349
sáb;08/01/2022;1:00;;;;;;17361
sáb;08/01/2022;2:00;;;;;;17373
sáb;08/01/2022;3:00;;;;;;17385
sáb;08/01/2022;4:00;;;;;;17397
sáb;08/01/2022;5:00;;;;;;17409
sáb;08/01/2022;6:00;;;;;;17421
sáb;08/01/2022;7:00;;;;;;17433
sáb;08/01/2022;8:00;;;;;;17445
sáb;08/01/2022;9:00;;;;;;17457
sáb;08/01/2022;10:00;;;;;;17469
sáb;08/01/2022;11:00;;;;;;17481
sáb;08/01/2022;12:00;27,6;;;;57,6;17493
sáb;08/01/2022;13:00;27,4;1,8;46;5,8;1446,4;17505
sáb;08/01/2022;14:00;28,5;0,9;56;6;1794,3;17517
sáb;08/01/2022;15:00;27,6;0,2;41;6,3;1850,4;17529
sáb;08/01/2022;16:00;24,3;2,2;80;10,3;1766,8;17541
sáb;08/01/2022;17:00;24,1;0;63;7,9;624,9;17553
sáb;08/01/2022;18:00;24,9;0;68;0;277,3;17565
sáb;08/01/2022;19:00;24,8;0;46;1,4;116,2;17577
sáb;08/01/2022;20:00;22,1;0;61;11,3;70,2;17589
sáb;08/01/2022;21:00;22,6;0;56;5,1;44,5;17601
sáb;08/01/2022;22:00;23;0;66;0;3,9;17613
sáb;08/01/2022;23:00;22,8;0;17;0;0,6;17625
dom;09/01/2022;0:00;23,4;0;39;0;;17637
dom;09/01/2022;1:00;23,2;0;304;0;;17649
dom;09/01/2022;2:00;23;0;214;0;;17661
dom;09/01/2022;3:00;23,2;0;214;0;;17673
dom;09/01/2022;4:00;23,4;0;223;0;;17685
dom;09/01/2022;5:00;23,3;0;208;0;;17697
dom;09/01/2022;6:00;23,9;0;246;0;;17709
dom;09/01/2022;7:00;24,2;0;249;0;;17721
dom;09/01/2022;8:00;24,4;0;252;3,7;1,3;17733
dom;09/01/2022;9:00;24,3;0;235;3,9;0,9;17745
dom;09/01/2022;10:00;24;0;219;0;38,2;17757
dom;09/01/2022;11:00;24,2;0;200;0;203,3;17769
dom;09/01/2022;12:00;24,3;0;264;0;325;17781
dom;09/01/2022;13:00;25,9;0;225;0;814,3;17793
dom;09/01/2022;14:00;26,5;0;218;0;884,6;17805
dom;09/01/2022;15:00;27,2;0;215;0;1371,1;17817
dom;09/01/2022;16:00;26,8;0;246;2,2;1461,2;17829
dom;09/01/2022;17:00;27,8;0;267;3,2;1277;17841
dom;09/01/2022;18:00;27,1;0,1;289;4,1;1120;17853
dom;09/01/2022;19:00;25,4;1,2;284;6,1;508,6;17865
dom;09/01/2022;20:00;25,9;0;284;6,1;309,7;17877
dom;09/01/2022;21:00;24,5;0;291;2,7;105,4;17889
dom;09/01/2022;22:00;24,2;0;251;2;11,8;17901
dom;09/01/2022;23:00;24,2;0;259;0;;17913
seg;10/01/2022;0:00;24,1;0;248;0;;17925
seg;10/01/2022;1:00;23,8;0;259;0;;17937
seg;10/01/2022;2:00;23,9;0;221;0;;17949
seg;10/01/2022;3:00;24,1;0;219;0;;17961
seg;10/01/2022;4:00;23,8;0;219;0;;17973
seg;10/01/2022;5:00;23,6;0;145;1;;17985
seg;10/01/2022;6:00;;;;;;17997
seg;10/01/2022;7:00;;;;;;18009
seg;10/01/2022;8:00;;;;;;18021
seg;10/01/2022;9:00;;;;;;18033
seg;10/01/2022;10:00;;;;;;18045
seg;10/01/2022;11:00;;;;;;18057
seg;10/01/2022;12:00;;;;;;18069
seg;10/01/2022;13:00;;;;;;18081
seg;10/01/2022;14:00;;;;;;18093
seg;10/01/2022;15:00;;;;;;18105
seg;10/01/2022;16:00;;;;;;18117
seg;10/01/2022;17:00;;;;;;18129
seg;10/01/2022;18:00;;;;;;18141
seg;10/01/2022;19:00;;;;;;18153
seg;10/01/2022;20:00;;;;;;18165
seg;10/01/2022;21:00;;;;;;18177
seg;10/01/2022;22:00;;;;;;18189
seg;10/01/2022;23:00;;;;;;18201
ter;11/01/2022;0:00;;;;;;18213
ter;11/01/2022;1:00;;;;;;18225
ter;11/01/2022;2:00;;;;;;18237
ter;11/01/2022;3:00;;;;;;18249
ter;11/01/2022;4:00;;;;;;18261
ter;11/01/2022;5:00;;;;;;18273
ter;11/01/2022;6:00;;;;;;18285
ter;11/01/2022;7:00;;;;;;18297
ter;11/01/2022;8:00;;;;;;18309
ter;11/01/2022;9:00;;;;;;18321
ter;11/01/2022;10:00;;;;;;18333
ter;11/01/2022;11:00;;;;;;18345
ter;11/01/2022;12:00;;;;;;18357
ter;11/01/2022;13:00;26,2;0;15;;1772,6;18369
ter;11/01/2022;14:00;27,1;0,1;333;4,9;2913,3;18381
ter;11/01/2022;15:00;27,8;0;328;3,4;2262,6;18393
ter;11/01/2022;16:00;27,5;0;338;4,3;1788,7;18405
ter;11/01/2022;17:00;26,2;0,2;37;3,8;1919,3;18417
ter;11/01/2022;18:00;26,4;0;16;4,1;919;18429
ter;11/01/2022;19:00;26,5;0;23;3,4;986,7;18441
ter;11/01/2022;20:00;27,2;0;20;3,8;1709,8;18453
ter;11/01/2022;21:00;25,9;0;25;4;532,4;18465
ter;11/01/2022;22:00;25,8;0;33;0;7,5;18477
ter;11/01/2022;23:00;25,9;0,1;49;4,7;;18489
qua;12/01/2022;0:00;25,7;0;52;4,3;;18501
qua;12/01/2022;1:00;25,5;0;52;4,2;;18513
qua;12/01/2022;2:00;25,7;0;43;3,4;;18525
qua;12/01/2022;3:00;25,8;0,1;40;4,1;;18537
qua;12/01/2022;4:00;25,8;0;24;4,1;;18549
qua;12/01/2022;5:00;25,8;0;356;3,8;;18561
qua;12/01/2022;6:00;25,7;0;1;3,8;;18573
qua;12/01/2022;7:00;25,5;0;24;1,8;;18585
qua;12/01/2022;8:00;25,5;0;26;0;;18597
qua;12/01/2022;9:00;23,7;1;65;8,1;;18609
qua;12/01/2022;10:00;23,8;0;129;4,3;42,2;18621
qua;12/01/2022;11:00;25,9;0;47;3,3;389;18633
qua;12/01/2022;12:00;27,6;0;42;2,8;733,7;18645
qua;12/01/2022;13:00;27,7;0;26;4,2;1777,5;18657
qua;12/01/2022;14:00;28,8;0,1;3;5,4;3085;18669
qua;12/01/2022;15:00;27,7;0;7;4,3;2904,4;18681
qua;12/01/2022;16:00;28,5;0,1;24;3,8;2202,2;18693
qua;12/01/2022;17:00;27,7;0;44;5,1;2052,8;18705
qua;12/01/2022;18:00;28;0,6;44;5,3;1816,3;18717
qua;12/01/2022;19:00;27,3;0,2;29;4,9;1051,6;18729
qua;12/01/2022;20:00;27,3;0;12;4,2;471;18741
qua;12/01/2022;21:00;24,1;0;326;6,9;100,6;18753
qua;12/01/2022;22:00;25,5;0;62;3,4;6,9;18765
qua;12/01/2022;23:00;24,9;0;60;2,1;0,8;18777
qui;13/01/2022;0:00;26;0;59;2,3;;18789
qui;13/01/2022;1:00;24,5;0;47;0;;18801
qui;13/01/2022;2:00;24,1;0;51;0;;18813
qui;13/01/2022;3:00;;;;;;18825
qui;13/01/2022;4:00;;;;;;18837
qui;13/01/2022;5:00;;;;;;18849
qui;13/01/2022;6:00;;;;;;18861
qui;13/01/2022;7:00;;;;;;18873
qui;13/01/2022;8:00;;;;;;18885
qui;13/01/2022;9:00;;;;;;18897
qui;13/01/2022;10:00;;;;;;18909
qui;13/01/2022;11:00;;;;;;18921
qui;13/01/2022;12:00;;;;;;18933
qui;13/01/2022;13:00;;;;;;18945
qui;13/01/2022;14:00;;;;;;18957
qui;13/01/2022;15:00;;;;;;18969
qui;13/01/2022;16:00;;;;;;18981
qui;13/01/2022;17:00;;;;;;18993
qui;13/01/2022;18:00;;;;;;19005
qui;13/01/2022;19:00;;;;;;19017
qui;13/01/2022;20:00;;;;;;19029
qui;13/01/2022;21:00;;;;;;19041
qui;13/01/2022;22:00;;;;;;19053
qui;13/01/2022;23:00;;;;;;19065
sex;14/01/2022;0:00;;;;;;19077
sex;14/01/2022;1:00;;;;;;19089
sex;14/01/2022;2:00;;;;;;19101
sex;14/01/2022;3:00;;;;;;19113
sex;14/01/2022;4:00;;;;;;19125
sex;14/01/2022;5:00;;;;;;19137
sex;14/01/2022;6:00;;;;;;19149
sex;14/01/2022;7:00;;;;;;19161
sex;14/01/2022;8:00;;;;;;19173
sex;14/01/2022;9:00;;;;;;19185
sex;14/01/2022;10:00;;;;;;19197
sex;14/01/2022;11:00;;;;;;19209
sex;14/01/2022;12:00;;;;;;19221
sex;14/01/2022;13:00;27,9;2,5;72;;423,6;19233
sex;14/01/2022;14:00;28,5;2,6;69;8,1;2130,8;19245
sex;14/01/2022;15:00;29,6;2,7;60;8,6;2132,8;19257
sex;14/01/2022;16:00;29,3;2,4;82;9;2477,7;19269
sex;14/01/2022;17:00;29,7;1,9;74;9,7;2626,7;19281
sex;14/01/2022;18:00;29;4,7;51;8,5;2643,6;19293
sex;14/01/2022;19:00;29;3,5;55;8,3;1906,5;19305
sex;14/01/2022;20:00;28,3;2,7;57;8,8;1398,2;19317
sex;14/01/2022;21:00;27,2;0,6;60;7,8;227,5;19329
sex;14/01/2022;22:00;27,1;0,2;58;6,7;7,3;19341
sex;14/01/2022;23:00;27;0,3;62;5,9;;19353
sáb;15/01/2022;0:00;26,8;0;62;6,4;;19365
sáb;15/01/2022;1:00;27;0,4;63;5,9;;19377
sáb;15/01/2022;2:00;26,8;0,2;62;6;;19389
sáb;15/01/2022;3:00;26,8;0,4;61;6,9;;19401
sáb;15/01/2022;4:00;26,8;0,1;66;6,2;;19413
sáb;15/01/2022;5:00;26,7;1,2;61;5,6;;19425
sáb;15/01/2022;6:00;26,3;0;101;5,6;;19437
sáb;15/01/2022;7:00;25,9;0,7;60;6;;19449
sáb;15/01/2022;8:00;26,2;0,1;64;6;;19461
sáb;15/01/2022;9:00;26,2;1;61;6,3;;19473
sáb;15/01/2022;10:00;26,4;0,9;64;6,7;48,7;19485
sáb;15/01/2022;11:00;27,4;0,7;61;7,2;247,8;19497
sáb;15/01/2022;12:00;28,4;2;66;7,6;349,8;19509
sáb;15/01/2022;13:00;28,9;2,1;58;7,6;1525,3;19521
sáb;15/01/2022;14:00;29,3;1,9;77;7,5;2637;19533
sáb;15/01/2022;15:00;29,5;1,8;68;7,3;2623,2;19545
sáb;15/01/2022;16:00;29,2;2,5;57;7,4;2261,2;19557
sáb;15/01/2022;17:00;29,4;2,4;54;7,8;2557,8;19569
sáb;15/01/2022;18:00;29;1;42;6,8;2542,9;19581
sáb;15/01/2022;19:00;28,7;0,5;43;6,7;1908,2;19593
sáb;15/01/2022;20:00;28,4;1,1;53;7;1221,7;19605
sáb;15/01/2022;21:00;27,5;1,1;63;7,6;530,8;19617
sáb;15/01/2022;22:00;27,1;0;65;6,2;9,8;19629
sáb;15/01/2022;23:00;27;0;75;4,9;;19641
dom;16/01/2022;0:00;25;0,1;156;3,4;;19653
dom;16/01/2022;1:00;23,3;0;169;3,6;;19665
dom;16/01/2022;2:00;22,8;0;169;2,3;;19677
dom;16/01/2022;3:00;;;;;;19689
dom;16/01/2022;4:00;;;;;;19701
dom;16/01/2022;5:00;;;;;;19713
dom;16/01/2022;6:00;;;;;;19725
dom;16/01/2022;7:00;;;;;;19737
dom;16/01/2022;8:00;;;;;;19749
dom;16/01/2022;9:00;;;;;;19761
dom;16/01/2022;10:00;;;;;;19773
dom;16/01/2022;11:00;;;;;;19785
dom;16/01/2022;12:00;;;;;;19797
dom;16/01/2022;13:00;;;;;;19809
dom;16/01/2022;14:00;;;;;;19821
dom;16/01/2022;15:00;;;;;;19833
dom;16/01/2022;16:00;;;;;;19845
dom;16/01/2022;17:00;;;;;;19857
dom;16/01/2022;18:00;;;;;;19869
dom;16/01/2022;19:00;;;;;;19881
dom;16/01/2022;20:00;;;;;;19893
dom;16/01/2022;21:00;;;;;;19905
dom;16/01/2022;22:00;;;;;;19917
dom;16/01/2022;23:00;;;;;;19929
seg;17/01/2022;0:00;;;;;;19941
seg;17/01/2022;1:00;;;;;;19953
seg;17/01/2022;2:00;;;;;;19965
seg;17/01/2022;3:00;;;;;;19977
seg;17/01/2022;4:00;;;;;;19989
seg;17/01/2022;5:00;;;;;;20001
seg;17/01/2022;6:00;;;;;;20013
seg;17/01/2022;7:00;;;;;;20025
seg;17/01/2022;8:00;;;;;;20037
seg;17/01/2022;9:00;;;;;;20049
seg;17/01/2022;10:00;;;;;;20061
seg;17/01/2022;11:00;;;;;;20073
seg;17/01/2022;12:00;26,3;0;96;;379,6;20085
seg;17/01/2022;13:00;24,5;0;48;8,2;557,5;20097
seg;17/01/2022;14:00;26,2;0;52;0;843,6;20109
seg;17/01/2022;15:00;26,7;0;34;0;880,7;20121
seg;17/01/2022;16:00;27,7;0;35;1,6;1142,1;20133
seg;17/01/2022;17:00;26,8;0,6;48;6,8;675,6;20145
seg;17/01/2022;18:00;26,8;0;57;6,4;549,4;20157
seg;17/01/2022;19:00;27,8;0,9;48;6,1;970,3;20169
seg;17/01/2022;20:00;26,4;0;49;6,2;766,5;20181
seg;17/01/2022;21:00;26,4;0,1;53;5,7;243,1;20193
seg;17/01/2022;22:00;26,1;0,5;55;5,9;11,7;20205
seg;17/01/2022;23:00;26,2;0,1;61;5,7;;20217
ter;18/01/2022;0:00;26,1;0,1;64;5,5;;20229
ter;18/01/2022;1:00;26,2;0,6;55;5,6;;20241
ter;18/01/2022;2:00;25,4;2;59;8,2;;20253
ter;18/01/2022;3:00;25,2;1,9;55;7,4;;20265
ter;18/01/2022;4:00;24,6;0;78;7,4;;20277
ter;18/01/2022;5:00;23,9;0;76;0;;20289
ter;18/01/2022;6:00;24,4;0;63;0;;20301
ter;18/01/2022;7:00;24;0;60;0;;20313
ter;18/01/2022;8:00;;;;;;20325
ter;18/01/2022;9:00;;;;;;20337
ter;18/01/2022;10:00;;;;;;20349
ter;18/01/2022;11:00;;;;;;20361
ter;18/01/2022;12:00;;;;;;20373
ter;18/01/2022;13:00;;;;;;20385
ter;18/01/2022;14:00;;;;;;20397
ter;18/01/2022;15:00;;;;;;20409
ter;18/01/2022;16:00;;;;;;20421
ter;18/01/2022;17:00;27,9;0,1;357;;2085,3;20433
ter;18/01/2022;18:00;26,8;0,1;338;3;2094,3;20445
ter;18/01/2022;19:00;26,8;0,2;332;3,5;1271,3;20457
ter;18/01/2022;20:00;25,5;0;34;3,6;257,8;20469
ter;18/01/2022;21:00;21,8;0;136;9,6;15,9;20481
ter;18/01/2022;22:00;21,8;0;141;0;;20493
ter;18/01/2022;23:00;21,8;0;141;0;;20505
qua;19/01/2022;0:00;22;0;141;0;;20517
qua;19/01/2022;1:00;22,2;0;141;0;;20529
qua;19/01/2022;2:00;22,1;0;141;0;;20541
qua;19/01/2022;3:00;;;;;;20553
qua;19/01/2022;4:00;;;;;;20565
qua;19/01/2022;5:00;;;;;;20577
qua;19/01/2022;6:00;;;;;;20589
qua;19/01/2022;7:00;;;;;;20601
qua;19/01/2022;8:00;;;;;;20613
qua;19/01/2022;9:00;;;;;;20625
qua;19/01/2022;10:00;;;;;;20637
qua;19/01/2022;11:00;;;;;;20649
qua;19/01/2022;12:00;;;;;;20661
qua;19/01/2022;13:00;;;;;;20673
qua;19/01/2022;14:00;;;;;;20685
qua;19/01/2022;15:00;28,1;4,5;118;;1940,8;20697
qua;19/01/2022;16:00;28;4,9;118;10,1;1861,3;20709
qua;19/01/2022;17:00;28;3,9;118;10,1;1563,3;20721
qua;19/01/2022;18:00;27,7;4,9;118;9,3;1500,8;20733
qua;19/01/2022;19:00;27,1;5,4;118;10,5;1047,8;20745
qua;19/01/2022;20:00;27,3;4,9;118;10,5;626,3;20757
qua;19/01/2022;21:00;26,6;4,8;118;9,7;382;20769
qua;19/01/2022;22:00;26,5;4,2;118;10,1;14,1;20781
qua;19/01/2022;23:00;26,5;3,5;118;9;;20793
qui;20/01/2022;0:00;26,7;1,6;118;8,4;;20805
qui;20/01/2022;1:00;26,5;2,4;118;8,7;;20817
qui;20/01/2022;2:00;26,1;0,2;118;8,8;;20829
qui;20/01/2022;3:00;26,1;0,4;118;6,8;;20841
qui;20/01/2022;4:00;26,5;0,7;118;5,5;;20853
qui;20/01/2022;5:00;26,4;1,9;118;7,1;;20865
qui;20/01/2022;6:00;26,4;1,1;118;7,5;;20877
qui;20/01/2022;7:00;26,2;1,1;118;6,8;;20889
qui;20/01/2022;8:00;26,3;0,9;118;6,6;;20901
qui;20/01/2022;9:00;26,2;1,5;118;7,8;;20913
qui;20/01/2022;10:00;26,4;2,4;118;7,8;54,6;20925
qui;20/01/2022;11:00;26,9;3,8;118;10,2;193,2;20937
qui;20/01/2022;12:00;28,1;3,6;118;10,2;331,2;20949
qui;20/01/2022;13:00;28,3;4,7;129;9,3;1649,1;20961
qui;20/01/2022;14:00;28,9;4,4;129;9,3;1894,1;20973
qui;20/01/2022;15:00;29,6;2,9;129;9,5;2685,2;20985
qui;20/01/2022;16:00;29,4;3,7;129;9,3;2156,5;20997
qui;20/01/2022;17:00;29,6;4,3;129;9,1;2621,1;21009
qui;20/01/2022;18:00;29,3;4;129;9,6;2589,8;21021
qui;20/01/2022;19:00;29,3;1,6;129;9,3;1846,6;21033
qui;20/01/2022;20:00;28,4;3,2;129;9,6;1106,6;21045
qui;20/01/2022;21:00;27,6;0,5;129;7,8;358,6;21057
qui;20/01/2022;22:00;27,1;0,3;129;8,5;32,6;21069
qui;20/01/2022;23:00;;;;;;21081
sex;21/01/2022;0:00;;;;;;21093
sex;21/01/2022;1:00;;;;;;21105
sex;21/01/2022;2:00;;;;;;21117
sex;21/01/2022;3:00;;;;;;21129
sex;21/01/2022;4:00;;;;;;21141
sex;21/01/2022;5:00;;;;;;21153
sex;21/01/2022;6:00;;;;;;21165
sex;21/01/2022;7:00;;;;;;21177
sex;21/01/2022;8:00;;;;;;21189
sex;21/01/2022;9:00;;;;;;21201
sex;21/01/2022;10:00;;;;;;21213
sex;21/01/2022;11:00;;;;;;21225
sex;21/01/2022;12:00;;;;;;21237
sex;21/01/2022;13:00;;;;;;21249
sex;21/01/2022;14:00;;;;;;21261
sex;21/01/2022;15:00;;;;;;21273
sex;21/01/2022;16:00;;;;;;21285
sex;21/01/2022;17:00;;;;;;21297
